OBJECTID,SAP_FUNCTIONAL_LOCATION,ITEM_DESCRIPTION,ITEM_TYPE,PARK_NUMBER,PARK_NAME,SUBURB,LONG,LAT,SHAPE_Length,SHAPE_Area
30,B-RE-1453-N001,HONOUR AVENUE (PATH SECTION),CULTURAL HERITAGE SITE,D0389,YERONGA MEMORIAL PARK,YERONGA,153.024748274035,-27.5190804112033,952.915473156719,12206.3934117229
31,B-RE-2099-N032,FOREST LAKE ANZAC MEMORIAL SITE,CULTURAL HERITAGE SITE,D1279,THE LAKE PARKLANDS,FOREST LAKE,152.966204591361,-27.622347811626,101.158882266981,434.375459588748
32,B-RE-1705-N001,RSL REMEMBERANCE DAY 90TH ANNIVERSARY MEMORIAL,CULTURAL HERITAGE SITE,D0121,W. J. SCOTT PARK,HOLLAND PARK,153.064128399531,-27.5169471128207,61.3068249281934,234.288710242243
33,B-RE-1476-N004,MOWBRAY PK MEMORIAL PRECINCT,CULTURAL HERITAGE SITE,D0366,MOWBRAY PARK,EAST BRISBANE,153.044662518375,-27.4791041195403,71.1888631611585,349.944387720006
34,B-RE-2196-N005,BAYSIDE NATIONAL SERVICEMEN MEMORIAL,CULTURAL HERITAGE SITE,D1497,DARLING POINT PARK (ROAD RESERVE),MANLY,153.187934558832,-27.4476339662629,20.9086370017387,27.0952919718587
35,B-RE-1370-N010,SYLVAN RD MEMORIAL & AVENUE OF PALMS,CULTURAL HERITAGE SITE,D0471,TOOWONG MEMORIAL PARK,TOOWONG,152.993888026448,-27.4812370443328,335.205596955242,2932.73547876283
36,B-RE-2386-N001,ITHACA MEMORIAL PRECINCT,CULTURAL HERITAGE SITE,D0912,ITHACA MEMORIAL PARK (ROAD RESERVE),PADDINGTON,153.000654678218,-27.4585419542991,69.6926340829846,263.054257877425
37,B-RE-1396-N002,NUNDAH MEMORIAL PRECINCT,CULTURAL HERITAGE SITE,D0450,NUNDAH MEMORIAL PARK,NUNDAH,153.058732632206,-27.4029551826357,145.553603297197,1211.47777633903
38,B-RE-1698-N008,SID LODER PARK WAR MEMORIAL,CULTURAL HERITAGE SITE,D0126,SID LODER PARK,MITCHELTON,152.978042377977,-27.4167081536688,110.228864053809,740.0402811449
39,B-RE-1671-N009,BOOKER PLACE WAR MEMORIAL (BIRKIN RD),CULTURAL HERITAGE SITE,D0663,BOOKER PLACE PARK,BELLBOWRIE,152.893664689627,-27.5618307450901,81.1741869939332,411.431923137981
40,B-RE-1933-N003,OXLEY PLACE WAR MEMORIAL,CULTURAL HERITAGE SITE,D0323,OXLEY PLACE PARK,OXLEY,152.979808215593,-27.5646822001971,56.8643055137752,201.5329211543
41,B-RE-1624-N007,ACACIA RIDGE WAR MEMORIAL,CULTURAL HERITAGE SITE,D0568,GRENIER PARK,ACACIA RIDGE,153.019248392294,-27.579098630226,98.7137168924673,600.677290491084
